Universe,Universe_Group,Opportunity_Type,Opportunity_Eligible,Symbol,Raw_Symbol,Name,Category,ISIN,Include,Source
ETF,ETF,Parking/Debt ETF,No,ABGSEC.NS,ABGSEC,BIRLASLAMC - ABGSEC,Parking/Debt ETF,INF209KC1134,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ABSL10BANK.NS,ABSL10BANK,BIRLASLAMC - ABSL10BANK,Bank/Financial ETF,INF209KC1670,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ABSLBANETF.NS,ABSLBANETF,BIRLASLAMC-ABSLBANETF,Bank/Financial ETF,INF209KB17D5,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,ABSLLIQUID.NS,ABSLLIQUID,BIRLASLAMC-ABSLLIQUID,Parking/Debt ETF,INF209KB18T9,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ABSLMSCIN.NS,ABSLMSCIN,BIRLASLAMC - ABSLMSCIN,ETF,INF209KC1662,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ABSLNN50ET.NS,ABSLNN50ET,BIRLASLAMC-ABSLNN50ET,Broad Market ETF,INF209KB16D7,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ABSLPSE.NS,ABSLPSE,BIRLASLAMC-ABSLPSE,IT ETF,INF209KB19Z4,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ALPHA.NS,ALPHA,KOTAKMAMC-KOTAKALPHA,Factor ETF,INF174KA1IA5,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ALPHAETF.NS,ALPHAETF,MIRAEAMC-ALPHAETF,Factor ETF,INF769K01KU7,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ALPL30IETF.NS,ALPL30IETF,ICICIPRAMC-ICICIALPLV,IT ETF,INF109KC17V7,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,AONEGOLD.NS,AONEGOLD,AONEAMC - AONEGOLD,Gold ETF,INF1J2R01114,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,AONELIQUID.NS,AONELIQUID,AONEAMC - AONELIQUID,Parking/Debt ETF,INF1J2R01056,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,AONENIFTY.NS,AONENIFTY,AONEAMC - AONENIFTY,Broad Market ETF,INF1J2R01064,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,AONESILVER.NS,AONESILVER,AONEAMC - AONESILVER,Silver ETF,INF1J2R01171,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,AONETMMQ50.NS,AONETMMQ50,AONEAMC - AONETMMQ50,IT ETF,INF1J2R01148,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,AONETOTAL.NS,AONETOTAL,AONEAMC - AONETOTAL,Broad Market ETF,INF1J2R01015,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,AUTOBEES.NS,AUTOBEES,NIPPONAMC-NETFAUTO,Auto ETF,INF204KC1337,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,AUTOIETF.NS,AUTOIETF,ICICIPRAMC-ICICIAUTO,Auto ETF,INF109KC10V2,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,BANK10ADD.NS,BANK10ADD,DSPAMC - BANK10ADD,Bank/Financial ETF,INF740KA1YH2,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,BANKADD.NS,BANKADD,DSPAMC-DSPBANK,Bank/Financial ETF,INF740KA1RX3,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,BANKBEES.NS,BANKBEES,NIPINDETFBANKBEES,Bank/Financial ETF,INF204KB15I9,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,BANKBETA.NS,BANKBETA,UTIAMC-BANKBETA,Bank/Financial ETF,INF789F1AUV1,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,BANKBETF.NS,BANKBETF,BFAM-BANKBETF,Bank/Financial ETF,INF0QA701714,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,BANKETF.NS,BANKETF,MIRAEAMC-BANKETF,Bank/Financial ETF,INF769K01KR3,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,BANKIETF.NS,BANKIETF,ICICIPRAMC-IPRU5008,Bank/Financial ETF,INF109KC15I8,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,BANKNIFTY1.NS,BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,Bank/Financial ETF,INF174KA1ZB7,Yes,NSE ETF
