Date,Symbol,Delivery_Pct
2026-07-03,20MICRONS,39.38
2026-07-03,21STCENMGM,98.47
2026-07-03,360ONE,44.12
2026-07-03,3BBLACKBIO,51.84
2026-07-03,3IINFOLTD,84.9
2026-07-03,3MINDIA,40.87
2026-07-03,3PLAND,90.19
2026-07-03,5PAISA,52.07
2026-07-03,63MOONS,59.82
2026-07-03,A2ZINFRA,58.25
2026-07-03,AAATECH,58.24
2026-07-03,AADHARHFC,42.07
2026-07-03,AAKASH,71.05
2026-07-03,AARNAV,32.91
2026-07-03,AARON,81.7
2026-07-03,AARTECH,69.96
2026-07-03,AARTIDRUGS,46.7
2026-07-03,AARTIIND,47.62
2026-07-03,AARTIPHARM,50.32
2026-07-03,AARTISURF,57.43
2026-07-03,AARVI,70.48
2026-07-03,AAVAS,57.44
2026-07-03,ABB,43.15
2026-07-03,ABBOTINDIA,73.68
2026-07-03,ABCAPITAL,53.29
2026-07-03,ABCOTS,60.91
2026-07-03,ABDL,53.1
2026-07-03,ABFRL,43.0
2026-07-03,ABGSEC,24.03
2026-07-03,ABINFRA,18.23
2026-07-03,ABLBL,49.55
2026-07-03,ABMINTLLTD,100.0
2026-07-03,ABMKNO,91.75
2026-07-03,ABREL,38.45
2026-07-03,ABSL10BANK,96.93
2026-07-03,ABSLAMC,56.67
2026-07-03,ABSLBANETF,93.8
2026-07-03,ABSLLIQUID,74.94
2026-07-03,ABSLMSCIN,99.49
2026-07-03,ABSLNN50ET,57.4
2026-07-03,ABSLPSE,80.82
2026-07-03,ACC,40.34
2026-07-03,ACCELYA,60.57
2026-07-03,ACE,61.39
2026-07-03,ACEINTEG,53.91
2026-07-03,ACI,47.66
2026-07-03,ACL,87.38
2026-07-03,ACMESOLAR,40.14
2026-07-03,ACSTECH,72.3
2026-07-03,ACUTAAS,46.09
2026-07-03,ADANIENSOL,40.33
2026-07-03,ADANIENT,25.51
2026-07-03,ADANIGREEN,18.49
2026-07-03,ADANIPORTS,47.51
2026-07-03,ADANIPOWER,30.4
2026-07-03,ADFFOODS,19.96
2026-07-03,ADL,82.59
2026-07-03,ADOR,48.68
2026-07-03,ADROITINFO,79.73
2026-07-03,ADSL,42.97
2026-07-03,ADVAIT,50.95
2026-07-03,ADVANCE,55.28
2026-07-03,ADVANIHOTR,73.2
2026-07-03,ADVENTHTL,48.16
2026-07-03,ADVENZYMES,50.67
2026-07-03,AEGISLOG,10.54
2026-07-03,AEGISVOPAK,22.8
2026-07-03,AEPL,84.99
2026-07-03,AEQUS,21.9
2026-07-03,AEROENTER,44.91
2026-07-03,AEROFLEX,49.29
2026-07-03,AERONEU,20.17
2026-07-03,AETHER,34.49
2026-07-03,AFCONS,47.0
2026-07-03,AFFLE,64.53
2026-07-03,AFSL,78.11
2026-07-03,AGARIND,52.67
2026-07-03,AGARWALEYE,53.22
2026-07-03,AGI,40.29
2026-07-03,AGIIL,49.55
2026-07-03,AGROPHOS,81.47
2026-07-03,AHCL,26.53
2026-07-03,AHLADA,69.59
2026-07-03,AHLEAST,97.38
2026-07-03,AHLUCONT,64.43
2026-07-03,AIAENG,61.79
2026-07-03,AIIL,39.42
2026-07-03,AIRAN,78.47
2026-07-03,AIROLAM,72.2
2026-07-03,AJANTPHARM,49.86
2026-07-03,AJAXENGG,58.22
2026-07-03,AJMERA,36.83
2026-07-03,AJOONI,74.94
2026-07-03,AKASH,98.88
2026-07-03,AKCAPIT,99.47
2026-07-03,AKG,86.97
2026-07-03,AKI,60.9
2026-07-03,AKSHAR,84.86
2026-07-03,AKUMS,42.45
2026-07-03,ALANKIT,79.96
2026-07-03,ALBERTDAVD,68.2
2026-07-03,ALEMBICLTD,53.58
2026-07-03,ALGOQUANT,24.36
2026-07-03,ALICON,67.39
2026-07-03,ALIVUS,44.01
2026-07-03,ALKEM,69.44
2026-07-03,ALKYLAMINE,41.58
2026-07-03,ALLCARGO,47.25
2026-07-03,ALLDIGI,71.76
2026-07-03,ALLTIME,43.5
2026-07-03,ALMONDZ,74.07
2026-07-03,ALOKINDS,41.62
2026-07-03,ALPA,61.43
2026-07-03,ALPHA,77.53
2026-07-03,ALPHAETF,61.83
2026-07-03,ALPHAGEO,60.3
2026-07-03,ALPL30IETF,73.65
2026-07-03,AMAGI,43.31
2026-07-03,AMBALALSA,66.92
2026-07-03,AMBER,22.86
2026-07-03,AMBICAAGAR,71.57
2026-07-03,AMBIKCO,55.14
2026-07-03,AMBUJACEM,49.38
2026-07-03,AMDIND,57.74
2026-07-03,AMIRCHAND,50.87
2026-07-03,AMJLAND,83.83
2026-07-03,AMNPLST,71.9
2026-07-03,AMRUTANJAN,72.77
2026-07-03,ANANDRATHI,45.28
2026-07-03,ANANTRAJ,43.4
2026-07-03,ANDHRAPAP,64.61
2026-07-03,ANDHRSUGAR,60.82
2026-07-03,ANGELONE,35.16
2026-07-03,ANMOL,89.93
2026-07-03,ANTELOPUS,44.33
2026-07-03,ANTGRAPHIC,77.01
2026-07-03,ANTHEM,52.16
2026-07-03,ANUHPHR,50.9
2026-07-03,ANUP,40.79
2026-07-03,ANURAS,24.93
2026-07-03,AONEGOLD,55.22
2026-07-03,AONELIQUID,82.59
2026-07-03,AONENIFTY,78.57
2026-07-03,AONESILVER,66.72
2026-07-03,AONETMMQ50,51.31
2026-07-03,AONETOTAL,68.74
2026-07-03,APARINDS,41.71
2026-07-03,APCL,67.94
2026-07-03,APCOTEXIND,50.32
2026-07-03,APEX,42.69
2026-07-03,APLAPOLLO,66.54
2026-07-03,APLLTD,33.6
2026-07-03,APOLLO,21.68
2026-07-03,APOLLOHOSP,44.8
2026-07-03,APOLLOPIPE,52.97
2026-07-03,APOLLOTYRE,40.75
2026-07-03,APOLSINHOT,67.97
2026-07-03,APTUS,60.87
2026-07-03,AQYLON,23.4
2026-07-03,ARCHIDPLY,80.65
2026-07-03,ARCHIES,76.71
2026-07-03,ARE&M,46.48
2026-07-03,ARENTERP,62.82
2026-07-03,ARFIN,15.99
2026-07-03,ARIES,63.58
2026-07-03,ARIHANT,49.53
2026-07-03,ARIHANTCAP,48.99
2026-07-03,ARIHANTSUP,61.27
2026-07-03,ARIS,58.09
2026-07-03,ARKADE,32.76
2026-07-03,ARMANFIN,47.59
2026-07-03,AROGRANITE,92.02
2026-07-03,ARSSBL,42.27
2026-07-03,ARTEMISMED,70.56
2026-07-03,ARTNIRMAN,100.0
2026-07-03,ARVEE,44.42
2026-07-03,ARVIND,50.92
2026-07-03,ARVINDFASN,61.73
2026-07-03,ARVSMART,53.85
2026-07-03,ASAHIINDIA,61.4
2026-07-03,ASAHISONG,72.78
2026-07-03,ASAL,51.8
2026-07-03,ASALCBR,53.88
2026-07-03,ASHAPURMIN,49.61
2026-07-03,ASHIANA,28.49
2026-07-03,ASHIKA,35.91
2026-07-03,ASHIMASYN,94.18
2026-07-03,ASHOKA,42.03
2026-07-03,ASHOKAMET,71.74
2026-07-03,ASHOKLEY,46.29
2026-07-03,ASIANENE,55.45
2026-07-03,ASIANHOTNR,75.9
2026-07-03,ASIANPAINT,57.91
2026-07-03,ASIANTILES,50.11
2026-07-03,ASKAUTOLTD,51.1
2026-07-03,ASPINWALL,72.06
2026-07-03,ASTAR,98.62
2026-07-03,ASTEC,43.91
2026-07-03,ASTERDM,36.05
2026-07-03,ASTRAL,42.89
2026-07-03,ASTRAMICRO,39.48
2026-07-03,ASTRAZEN,54.62
2026-07-03,ATALREAL,48.05
2026-07-03,ATAM,67.55
2026-07-03,ATGL,31.58
2026-07-03,ATHERENERG,33.46
2026-07-03,ATL,54.33
2026-07-03,ATLANTAA,72.68
2026-07-03,ATLANTAELE,59.39
2026-07-03,ATLASCYCLE,82.0
2026-07-03,ATUL,60.57
2026-07-03,ATULAUTO,26.31
2026-07-03,AUBANK,47.89
2026-07-03,AURIGROW,33.97
2026-07-03,AURIONPRO,44.88
2026-07-03,AUROPHARMA,37.13
2026-07-03,AURUM,62.38
2026-07-03,AUTOAXLES,54.33
2026-07-03,AUTOBEES,52.49
2026-07-03,AUTOIETF,72.98
2026-07-03,AVALON,57.62
2026-07-03,AVANTEL,42.88
2026-07-03,AVANTIFEED,36.96
2026-07-03,AVG,44.48
2026-07-03,AVL,46.12
2026-07-03,AVONMORE,74.42
2026-07-03,AVROIND,58.51
2026-07-03,AVTNPL,49.42
2026-07-03,AWFIS,42.58
2026-07-03,AWHCL,59.71
2026-07-03,AWL,24.28
2026-07-03,AXISBANK,58.5
2026-07-03,AXISCADES,59.07
2026-07-03,AXITA,45.88
2026-07-03,AYE,44.62
2026-07-03,AYMSYNTEX,28.02
2026-07-03,AZAD,42.17
2026-07-03,BAGFILMS,74.05
2026-07-03,BAIDFIN,56.67
2026-07-03,BAJAJ-AUTO,47.16
2026-07-03,BAJAJCON,52.95
2026-07-03,BAJAJELEC,55.34
2026-07-03,BAJAJFINSV,41.17
2026-07-03,BAJAJHCARE,32.82
2026-07-03,BAJAJHFL,21.42
2026-07-03,BAJAJHIND,45.53
2026-07-03,BAJAJHLDNG,45.36
2026-07-03,BAJAJINDEF,67.91
2026-07-03,BAJAJST,46.4
2026-07-03,BAJEL,59.07
2026-07-03,BAJFINANCE,52.66
2026-07-03,BALAJEE,47.43
2026-07-03,BALAJITELE,69.45
2026-07-03,BALAMINES,29.22
2026-07-03,BALKRISHNA,58.55
2026-07-03,BALKRISIND,44.05
2026-07-03,BALMLAWRIE,73.65
2026-07-03,BALPHARMA,78.91
2026-07-03,BALRAMCHIN,43.63
2026-07-03,BALUFORGE,41.53
2026-07-03,BANARBEADS,86.37
2026-07-03,BANARISUG,51.39
2026-07-03,BANCOINDIA,33.19
2026-07-03,BANDHANBNK,42.15
2026-07-03,BANG,65.84
2026-07-03,BANK10ADD,69.77
2026-07-03,BANKADD,50.8
2026-07-03,BANKBARODA,53.55
2026-07-03,BANKBEES,61.97
2026-07-03,BANKBETA,97.31
2026-07-03,BANKBETF,73.9
2026-07-03,BANKETF,60.89
2026-07-03,BANKIETF,74.34
2026-07-03,BANKINDIA,34.74
