Symbol,Raw_Symbol,Name,Universe_Group,Opportunity_Type,ISIN,AMFI_Scheme_Code,AMFI_Scheme_Name,Manual_NAV,Manual_NAV_Date,NAV_Source,NAV_Match_Method,NAV_Match_Score,AUM_Cr,TER,Tracking_Error,Tracking_Difference,Benchmark_Index,AUM_Source,TER_Source,Tracking_Error_Source,Tracking_Difference_Source,Benchmark_Source,Metadata_Confidence,Metadata_Flags,Last_Updated
ABGSEC.NS,ABGSEC,BIRLASLAMC - ABGSEC,ETF,Parking/Debt ETF,INF209KC1134,152732,ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF,114.3475,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,4145.29,0.0007,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:39
ABSL10BANK.NS,ABSL10BANK,BIRLASLAMC - ABSL10BANK,ETF,Equity ETF,INF209KC1670,154224,Aditya Birla Sun Life BSE Top 10 Banks ETF,173.5455,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,1720.42,0.0012,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:39
ABSLBANETF.NS,ABSLBANETF,BIRLASLAMC-ABSLBANETF,ETF,Equity ETF,INF209KB17D5,147735,Aditya Birla Sun Life Nifty Bank ETF,59.3871,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,40055.67,0.0012,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:39
ABSLLIQUID.NS,ABSLLIQUID,BIRLASLAMC-ABSLLIQUID,ETF,Parking/Debt ETF,INF209KB18T9,151533,Aditya Birla Sun Life CRISIL Liquid Overnight ETF - IDCW Daily Reinvestment with Weekly Payout,1000.0,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,2869.79,,,,,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),,,,,0.55,TER missing; Tracking quality metric missing; Benchmark missing,2026-07-04 05:36:39
ABSLMSCIN.NS,ABSLMSCIN,BIRLASLAMC - ABSLMSCIN,ETF,Equity ETF,INF209KC1662,154220,Aditya Birla Sun Life MSCI India ETF,29.5428,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,520.55,0.0016,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:39
ABSLNN50ET.NS,ABSLNN50ET,BIRLASLAMC-ABSLNN50ET,ETF,Equity ETF,INF209KB16D7,145881,Aditya Birla Sunlife Nifty Next 50 ETF,75.9365,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,9784.63,0.0008,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:39
ABSLPSE.NS,ABSLPSE,BIRLASLAMC-ABSLPSE,ETF,Equity ETF,INF209KB19Z4,152620,Aditya Birla Sun Life Nifty PSE ETF,10.3796,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,2681.38,0.0017,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:39
ALPHA.NS,ALPHA,KOTAKMAMC-KOTAKALPHA,ETF,Equity ETF,INF174KA1IA5,149397,Kotak Nifty Alpha 50 ETF,51.2406,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,71850.67,0.0086,,,Other Scheme - Index Funds,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:39
ALPHAETF.NS,ALPHAETF,MIRAEAMC-ALPHAETF,ETF,Equity ETF,INF769K01KU7,152134,Mirae Asset Nifty 200 Alpha 30 ETF,26.047,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,39840.03,0.0038,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:39
ALPL30IETF.NS,ALPL30IETF,ICICIPRAMC-ICICIALPLV,ETF,Equity ETF,INF109KC17V7,148456,ICICI Prudential Nifty Alpha Low- Volatility 30 ETF,27.5896,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,324.93,0.0089,,,Other Scheme - Index Funds,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:39
