Symbol,Raw_Symbol,Name,Category,ISIN,ETF_Name,ETF_Category,ETF_ISIN,Suggested_AMFI_Scheme_Code,Suggested_AMFI_Scheme_Name,Suggested_NAV,Suggested_NAV_Date,Match_Score,Match_Type,Mapping_Status,Manual_AMFI_Scheme_Code,Manual_AMFI_Scheme_Name,Manual_NAV,Manual_NAV_Date,AUM_Cr,TER,Tracking_Error,Tracking_Difference,Benchmark_Index,Quality_Override_Notes
ABGSEC.NS,ABGSEC,BIRLASLAMC - ABGSEC,Parking/Debt ETF,INF209KC1134,BIRLASLAMC - ABGSEC,Parking/Debt ETF,INF209KC1134,152732,ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF,114.3475,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ABSL10BANK.NS,ABSL10BANK,BIRLASLAMC - ABSL10BANK,Bank/Financial ETF,INF209KC1670,BIRLASLAMC - ABSL10BANK,Bank/Financial ETF,INF209KC1670,154224,Aditya Birla Sun Life BSE Top 10 Banks ETF,173.5455,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ABSLBANETF.NS,ABSLBANETF,BIRLASLAMC-ABSLBANETF,Bank/Financial ETF,INF209KB17D5,BIRLASLAMC-ABSLBANETF,Bank/Financial ETF,INF209KB17D5,147735,Aditya Birla Sun Life Nifty Bank ETF,59.3871,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ABSLLIQUID.NS,ABSLLIQUID,BIRLASLAMC-ABSLLIQUID,Parking/Debt ETF,INF209KB18T9,BIRLASLAMC-ABSLLIQUID,Parking/Debt ETF,INF209KB18T9,151533,Aditya Birla Sun Life CRISIL Liquid Overnight ETF - IDCW Daily Reinvestment with Weekly Payout,1000.0,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ABSLMSCIN.NS,ABSLMSCIN,BIRLASLAMC - ABSLMSCIN,ETF,INF209KC1662,BIRLASLAMC - ABSLMSCIN,ETF,INF209KC1662,154220,Aditya Birla Sun Life MSCI India ETF,29.5428,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ABSLNN50ET.NS,ABSLNN50ET,BIRLASLAMC-ABSLNN50ET,Broad Market ETF,INF209KB16D7,BIRLASLAMC-ABSLNN50ET,Broad Market ETF,INF209KB16D7,145881,Aditya Birla Sunlife Nifty Next 50 ETF,75.9365,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ABSLPSE.NS,ABSLPSE,BIRLASLAMC-ABSLPSE,IT ETF,INF209KB19Z4,BIRLASLAMC-ABSLPSE,IT ETF,INF209KB19Z4,152620,Aditya Birla Sun Life Nifty PSE ETF,10.3796,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ALPHA.NS,ALPHA,KOTAKMAMC-KOTAKALPHA,Factor ETF,INF174KA1IA5,KOTAKMAMC-KOTAKALPHA,Factor ETF,INF174KA1IA5,149397,Kotak Nifty Alpha 50 ETF,51.2406,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ALPHAETF.NS,ALPHAETF,MIRAEAMC-ALPHAETF,Factor ETF,INF769K01KU7,MIRAEAMC-ALPHAETF,Factor ETF,INF769K01KU7,152134,Mirae Asset Nifty 200 Alpha 30 ETF,26.047,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ALPL30IETF.NS,ALPL30IETF,ICICIPRAMC-ICICIALPLV,IT ETF,INF109KC17V7,ICICIPRAMC-ICICIALPLV,IT ETF,INF109KC17V7,148456,ICICI Prudential Nifty Alpha Low- Volatility 30 ETF,27.5896,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
AONEGOLD.NS,AONEGOLD,AONEAMC - AONEGOLD,Gold ETF,INF1J2R01114,AONEAMC - AONEGOLD,Gold ETF,INF1J2R01114,153826,ANGEL ONE GOLD ETF,13.2716,02-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
AONELIQUID.NS,AONELIQUID,AONEAMC - AONELIQUID,Parking/Debt ETF,INF1J2R01056,AONEAMC - AONELIQUID,Parking/Debt ETF,INF1J2R01056,153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,1066.4615,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
AONENIFTY.NS,AONENIFTY,AONEAMC - AONENIFTY,Broad Market ETF,INF1J2R01064,AONEAMC - AONENIFTY,Broad Market ETF,INF1J2R01064,153531,ANGEL ONE NIFTY 50 ETF,10.0066,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
AONESILVER.NS,AONESILVER,AONEAMC - AONESILVER,Silver ETF,INF1J2R01171,AONEAMC - AONESILVER,Silver ETF,INF1J2R01171,154205,ANGEL ONE SILVER ETF,8.6697,02-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
AONETMMQ50.NS,AONETMMQ50,AONEAMC - AONETMMQ50,IT ETF,INF1J2R01148,AONEAMC - AONETMMQ50,IT ETF,INF1J2R01148,153957,ANGEL ONE NIFTY TOTAL MARKET MOMENTUM QUALITY 50 ETF,10.0503,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
AONETOTAL.NS,AONETOTAL,AONEAMC - AONETOTAL,Broad Market ETF,INF1J2R01015,AONEAMC - AONETOTAL,Broad Market ETF,INF1J2R01015,153332,ANGEL ONE NIFTY TOTAL MARKET ETF,11.8779,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
AUTOBEES.NS,AUTOBEES,NIPPONAMC-NETFAUTO,Auto ETF,INF204KC1337,NIPPONAMC-NETFAUTO,Auto ETF,INF204KC1337,149465,Nippon India Nifty Auto ETF,278.6115,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
AUTOIETF.NS,AUTOIETF,ICICIPRAMC-ICICIAUTO,Auto ETF,INF109KC10V2,ICICIPRAMC-ICICIAUTO,Auto ETF,INF109KC10V2,149463,ICICI Prudential Nifty Auto ETF,27.9063,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BANK10ADD.NS,BANK10ADD,DSPAMC - BANK10ADD,Bank/Financial ETF,INF740KA1YH2,DSPAMC - BANK10ADD,Bank/Financial ETF,INF740KA1YH2,154256,DSP BSE Top 10 Banks ETF,17.3619,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BANKADD.NS,BANKADD,DSPAMC-DSPBANK,Bank/Financial ETF,INF740KA1RX3,DSPAMC-DSPBANK,Bank/Financial ETF,INF740KA1RX3,151262,DSP Nifty Bank ETF,59.302,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BANKBEES.NS,BANKBEES,NIPINDETFBANKBEES,Bank/Financial ETF,INF204KB15I9,NIPINDETFBANKBEES,Bank/Financial ETF,INF204KB15I9,140087,Nippon India ETF Nifty Bank BeES,599.7995,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BANKBETA.NS,BANKBETA,UTIAMC-BANKBETA,Bank/Financial ETF,INF789F1AUV1,UTIAMC-BANKBETA,Bank/Financial ETF,INF789F1AUV1,148173,UTI Nifty Bank ETF,59.9216,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BANKBETF.NS,BANKBETF,BFAM-BANKBETF,Bank/Financial ETF,INF0QA701714,BFAM-BANKBETF,Bank/Financial ETF,INF0QA701714,152357,Bajaj Finserv Nifty Bank ETF,58.8813,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BANKETF.NS,BANKETF,MIRAEAMC-BANKETF,Bank/Financial ETF,INF769K01KR3,MIRAEAMC-BANKETF,Bank/Financial ETF,INF769K01KR3,151857,Mirae Asset Nifty Bank ETF,590.1906,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BANKIETF.NS,BANKIETF,ICICIPRAMC-IPRU5008,Bank/Financial ETF,INF109KC15I8,ICICIPRAMC-IPRU5008,Bank/Financial ETF,INF109KC15I8,147483,ICICI Prudential Nifty Bank ETF,59.4859,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BANKNIFTY1.NS,BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,Bank/Financial ETF,INF174KA1ZB7,KOTAKMAMC-KOTAKBKETF,Bank/Financial ETF,INF174KA1ZB7,133122,Kotak Nifty Bank ETF,60.1231,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BANKPSU.NS,BANKPSU,MIRAEAMC - BANKPSU,Bank/Financial ETF,INF769K01LZ4,MIRAEAMC - BANKPSU,Bank/Financial ETF,INF769K01LZ4,152929,Mirae Asset Nifty PSU Bank ETF,84.8534,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BBETF0432.NS,BBETF0432,EDELAMC-BBETF0432,Parking/Debt ETF,INF754K01OB1,EDELAMC-BBETF0432,Parking/Debt ETF,INF754K01OB1,149398,BHARAT Bond ETF - April 2032,1353.8516,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BBNPNBETF.NS,BBNPNBETF,BARODABNP - BBNPNBETF,Bank/Financial ETF,INF251K01TL6,BARODABNP - BBNPNBETF,Bank/Financial ETF,INF251K01TL6,152683,Baroda BNP Paribas Nifty Bank ETF,58.4087,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BBNPPGOLD.NS,BBNPPGOLD,BARODABNP-BBNPPGOLD,Gold ETF,INF251K01SU9,BARODABNP-BBNPPGOLD,Gold ETF,INF251K01SU9,152231,Baroda BNP Paribas Gold ETF,140.6359,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BFSI.NS,BFSI,MIRAEAMC-MAFSETF,Bank/Financial ETF,INF769K01HI8,MIRAEAMC-MAFSETF,Bank/Financial ETF,INF769K01HI8,149105,Mirae Asset Nifty Financial Services ETF,27.9107,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BNKETFAXIS.NS,BNKETFAXIS,AXISAMC-BNKETFAXIS,Bank/Financial ETF,INF846K01X63,AXISAMC-BNKETFAXIS,Bank/Financial ETF,INF846K01X63,148559,Axis NIFTY Bank ETF,597.3121,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BSE500IETF.NS,BSE500IETF,ICICIPRAMC-ICICI500,International ETF,INF109KC1V59,ICICIPRAMC-ICICI500,International ETF,INF109KC1V59,143247,ICICI Prudential BSE 500 ETF,39.331,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BSLGOLDETF.NS,BSLGOLDETF,ABSLGoldETF-GO,Gold ETF,INF209KB18D3,ABSLGoldETF-GO,Gold ETF,INF209KB18D3,115127,Aditya Birla Sun Life Gold ETF,127.7406,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BSLNIFTY.NS,BSLNIFTY,ABSLNiftyETF-GO,Broad Market ETF,INF209KB19D1,ABSLNiftyETF-GO,Broad Market ETF,INF209KB19D1,115512,Aditya Birla Sun Life Nifty 50 ETF,28.4069,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
BSLSENETFG.NS,BSLSENETFG,BIRLASLAMC-BSLSENETFG,Broad Market ETF,INF209KB10E8,BIRLASLAMC-BSLSENETFG,Broad Market ETF,INF209KB10E8,139581,Aditya Birla Sun Life BSE Sensex ETF,78.2908,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
CASHIETF.NS,CASHIETF,ICICIPRAMC - CASHIETF,Parking/Debt ETF,INF109K1A021,ICICIPRAMC - CASHIETF,Parking/Debt ETF,INF109K1A021,153378,ICICI Prudential BSE Liquid Rate ETF - Growth,1069.1148,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
CHEMICAL.NS,CHEMICAL,KOTAKMAMC - CHEMICAL,Broad Market ETF,INF174KA1XV0,KOTAKMAMC - CHEMICAL,Broad Market ETF,INF174KA1XV0,153934,Kotak Nifty Chemicals ETF,30.046,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
